epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2349.45,1.20429,0.64445,0.99761,0.90992,0.85366,0.91904,0.58874,1.22152,0.57444,1.00194,0.000990365,0.000990365,0.000990365
43,2411.75,1.2334,0.67388,1.00173,0.91036,0.84872,0.91162,0.58858,1.20982,0.58375,0.99828,0.000973861,0.000973861,0.000973861
44,2466.69,1.20739,0.6558,0.99702,0.91367,0.8594,0.92207,0.59402,1.20641,0.57068,0.998,0.000957358,0.000957358,0.000957358
45,2521.72,1.20841,0.65015,0.99223,0.92499,0.84758,0.91979,0.59178,1.21713,0.57817,1.00014,0.000940855,0.000940855,0.000940855
46,2576.29,1.20157,0.63923,0.99069,0.91769,0.85092,0.919,0.5933,1.20166,0.57004,0.99257,0.000924352,0.000924352,0.000924352
47,2631,1.19816,0.64761,0.9977,0.92236,0.83919,0.91684,0.59437,1.19452,0.57051,0.98977,0.000907848,0.000907848,0.000907848
48,2685.53,1.20828,0.63767,0.99282,0.91644,0.85347,0.91843,0.59185,1.20357,0.57519,0.99383,0.000891345,0.000891345,0.000891345
49,2740.65,1.20318,0.63145,0.99124,0.91846,0.85755,0.92234,0.59603,1.19497,0.56923,0.98979,0.000874842,0.000874842,0.000874842
50,2795.16,1.20117,0.63623,0.99821,0.92013,0.84819,0.91972,0.59679,1.203,0.56357,0.99141,0.000858338,0.000858338,0.000858338
51,2849.98,1.19104,0.65236,0.98257,0.92218,0.85327,0.91889,0.5985,1.19221,0.56672,0.98943,0.000841835,0.000841835,0.000841835
52,2904.32,1.17282,0.61976,0.97598,0.91299,0.86239,0.92108,0.59642,1.20282,0.55505,0.99203,0.000825332,0.000825332,0.000825332
53,2958.28,1.1876,0.62451,0.98459,0.92002,0.84667,0.91589,0.59137,1.2039,0.56858,0.99368,0.000808828,0.000808828,0.000808828
54,3012.79,1.17998,0.61935,0.97948,0.91746,0.85356,0.92283,0.59627,1.19013,0.55574,0.98735,0.000792325,0.000792325,0.000792325
55,3066.93,1.19711,0.63404,0.99597,0.90989,0.87219,0.92364,0.59903,1.19575,0.55572,0.99101,0.000775822,0.000775822,0.000775822
56,3121.1,1.18652,0.61609,0.98475,0.91877,0.85879,0.92289,0.60116,1.18964,0.5533,0.98984,0.000759318,0.000759318,0.000759318
57,3175.39,1.18905,0.62374,0.99037,0.92059,0.85063,0.91926,0.59524,1.19702,0.55846,0.99062,0.000742815,0.000742815,0.000742815
58,3230.25,1.19136,0.62685,0.98446,0.91875,0.85447,0.92146,0.60088,1.18711,0.55441,0.99025,0.000726312,0.000726312,0.000726312
